UNITID,INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,MAIN,CONTROL,LOCALE,CIP11ASSOC,CIP11BACHL,CIP52ASSOC,CIP52BACHL,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,UG25ABV,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,MN_EARN_WNE_P10,MN_EARN_WNE_MALE0_P6,MN_EARN_WNE_MALE1_P6,MN_EARN_WNE_MALE0_P10,MN_EARN_WNE_MALE1_P10,Additional_Expenses,Program_Offered,ENT_2YR_RANK,Total_Crime_Rank,Violent_Rank,Violent_Crime_Percentile,Total_Crime_Percentile,Branch,Address,Sector,Lat,Long,Url
122384,San Diego Miramar College,San Diego,CA,92126-2999,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,11,1,0,1,0,11969,1142,5702,,0.6767,,0.4047,0.486,30600,37600,37100,40800,42200,26300,34800,36300,49400,6267,2,10,88,189,0.504,0.234666667,Main Campus,10440 BLACK MOUNTAIN RD,"Public, 2-year",32.9095,-117.1209,www.sdmiramar.edu/
122409,San Diego State University,San Diego,CA,92182,Western Association of Schools and Colleges Senior College and University Commission,1,1,11,0,1,0,1,20252,6766,17926,0.8775,,0.7548,,0.1651,38300,44400,46400,50100,52000,36200,41400,47200,59400,2326,2,10,88,189,0.504,0.234666667,Main Campus,5500 CAMPANILE DR,"Public, 4-year or above",32.7753,-117.0712,www.sdsu.edu
122746,San Jose City College,San Jose,CA,95128-2798,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,11,2,0,2,0,15067,1324,6946,,0.6174,,0.3831,0.4966,26000,27500,31300,35200,34300,23600,29400,31300,39300,8121,4,2,139,111,0.296,0.370666667,San Jose City College,2100 MOORPARK AVE,"Public, 2-year",37.3163,-121.9297,www.sjcc.edu
122755,San Jose State University,San Jose,CA,95192-0001,Western Association of Schools and Colleges Senior College and University Commission,1,1,11,0,2,0,2,21160,7343,18503,0.8782,,0.5476,,0.1993,43400,49200,51800,57300,60200,41900,45300,57300,63400,2657,4,2,139,111,0.296,0.370666667,Main Campus,One Washington Square,"Public, 4-year or above",37.3352,-121.8812,www.sjsu.edu
197151,School of Visual Arts,New York,NY,10010,Middle States Commission on Higher Education,1,3,11,0,1,0,0,48993,32270,32270,0.8293,,0.5,,0.1139,34000,34100,39800,45600,47600,31500,36400,42000,52100,16723,1,7,70,105,0.28,0.186666667,School of Visual Arts-Main Campus,209 E 23RD ST,"Private for-profit, 4-year or above",40.7387,-73.9822,www.sva.edu
475565,Stella and Charles Guttman Community College,New York,NY,10018-2602,Middle States Commission on Higher Education | New York State Board of Regents and the Commissioner of Education,1,1,11,1,0,1,0,10818,4542,7062,,0.7439,,,0.0162,,,,,,,,,,3756,2,7,70,105,0.28,0.186666667,Stella and Charles Guttman Community College,50 West 40th Street,"Public, 2-year",0,0,www.ncc.cuny.edu/index.html
196477,Technical Career Institutes,New York,NY,10001,Middle States Commission on Higher Education | New York State Board of Regents and the Commissioner of Education,1,3,11,0,0,1,0,22032,13340,13340,,0.4165,,0.6,0.5593,24600,31400,30500,36500,36800,18500,27400,28400,40400,8692,1,7,70,105,0.28,0.186666667,TCI Campus,320 W 31ST ST,"Private for-profit, 2-year",40.7506,-73.996,www.tcicollege.edu
229063,Texas Southern University,Houston,TX,77004,Southern Association of Colleges and Schools Commission on Colleges,1,1,11,0,1,0,1,22311,7946,18566,0.5517,,0.3053,,0.2958,28200,30300,31800,35700,35700,27100,29500,35200,36300,3745,2,8,5,331,0.882666667,1.33E-02,Main Campus,3100 CLEBURNE ST,"Public, 4-year or above",29.7225,-95.362,www.tsu.edu
126702,The Art Institute of Colorado,Denver,CO,80203-2983,Accrediting Council for Independent Colleges and Schools | North Central Association of Colleges and Schools The Higher Learning Commission,1,3,11,1,1,1,1,30664,17632,17632,0.4831,,0.3014,,0.4208,28000,30800,31800,35900,36900,26500,29500,31900,40000,13032,4,6,2,216,0.576,5.33E-03,The Art Institute of Colorado,1200 Lincoln Street,"Private for-profit, 4-year or above",39.7356,-104.9858,www.artinstitutes.edu/denver/
222938,The Art Institute of Houston,Houston,TX,77027-9625,Southern Association of Colleges and Schools Commission on Colleges,1,3,11,1,1,1,1,30536,17668,17668,0.4955,,0.3962,,0.3845,29700,32200,33200,36500,37700,27500,32000,32400,41200,12868,4,8,5,331,0.882666667,1.33E-02,The Art Institute of Houston,4140 Southwest Freeway,"Private for-profit, 4-year or above",29.7299,-95.4457,www.aih.aii.edu
365055,The Art Institute of New York City,New York,NY,10013,Accrediting Council for Independent Colleges and Schools,1,3,11,1,0,1,0,31955,19756,19756,,0.5186,,0.4638,0.2375,26100,29400,29900,32700,33400,24900,27700,29900,36500,12199,2,7,70,105,0.28,0.186666667,The Art Institute of New York City,11-17 Beach Street,"Private for-profit, 2-year",40.7205,-74.0062,www.artinstitutes.edu/new-york/Default.aspx
454184,The King’s College,New York,NY,10004,Middle States Commission on Higher Education,1,2,11,0,0,0,2,44720,31300,31300,0.599,,0,,0.0155,,,,,,,,,,13420,2,7,70,105,0.28,0.186666667,,,,40.7483,-73.9858,www.tkc.edu
119544,The National Hispanic University,San Jose,CA,95127-3823,Western Association of Schools and Colleges Senior College and University Commission,1,3,11,0,0,1,2,22545,8196,8196,0.6,,0.5294,,0.4499,32000,37200,39400,44200,42700,31200,33600,,,14349,3,2,139,111,0.296,0.370666667,,,,37.3591,-121.8159,www.nhu.edu
193654,The New School,New York,NY,10011-8603,Middle States Commission on Higher Education,1,2,11,0,0,2,2,57203,40426,40426,0.8276,,0,,0.1859,39000,43300,45900,44100,48800,38500,40200,46600,52600,16777,4,7,70,105,0.28,0.186666667,Main Campus,66 W 12 ST,"Private nonprofit, 4-year or above",40.7353,-73.9946,www.newschool.edu
196592,Touro College,New York,NY,10010,Middle States Commission on Higher Education | Western Association of Schools and Colleges Senior College and University Commission,1,2,11,1,1,1,1,23347,15250,15250,0.4631,,0.5714,,0.4265,33700,35600,35900,39100,40400,30600,39900,34400,52700,8097,4,7,70,105,0.28,0.186666667,Main Campus,27-33 W 23RD ST,"Private nonprofit, 4-year or above",40.7422,-73.9899,www.touro.edu
110662,University of California-Los Angeles,Los Angeles,CA,90095-1405,Western Association of Schools and Colleges Senior College and University Commission,1,1,11,0,1,0,1,31474,12697,35575,0.9626,,0.75,,0.0532,47000,54900,58800,65900,72600,43500,51700,65900,82100,-4101,2,4,155,290,0.773333333,0.413333333,UCLA,405 HILGARD AVE,"Public, 4-year or above",34.0689,-118.4439,www.ucla.edu/
126562,University of Colorado Denver,Denver,CO,80217-3364,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,11,0,2,0,2,18822,7933,22057,0.7521,,0.4627,,0.2507,47800,58300,59900,86000,74600,46700,49200,69500,82200,-3235,4,6,2,216,0.576,5.33E-03,University of Colorado Denver - Downtown,1380 Lawrence Street,"Public, 4-year or above",39.7464,-104.9993,www.ucdenver.edu/
127060,University of Denver,Denver,CO,80208,North Central Association of Colleges and Schools The Higher Learning Commission,1,2,11,0,2,0,2,53614,40707,40707,0.8678,,,,0.0741,47800,51700,53000,58000,60700,45000,52200,55900,68800,12907,4,6,2,216,0.576,5.33E-03,University Park Campus,2199 S. UNIVERSITY BLVD.,"Private nonprofit, 4-year or above",39.696,-104.9646,www.du.edu
225511,University of Houston,Houston,TX,77204-2018,Southern Association of Colleges and Schools Commission on Colleges,1,1,11,0,1,0,1,22215,8401,16897,0.8463,,0.7042,,0.1935,44000,47700,51200,52800,57200,40200,48500,50900,64700,5318,2,8,5,331,0.882666667,1.33E-02,Central Campus,4800 CALHOUN,"Public, 4-year or above",29.72,-95.3449,www.uh.edu/students
225432,University of Houston-Downtown,Houston,TX,77002-1014,Southern Association of Colleges and Schools Commission on Colleges,1,1,11,0,2,0,2,18879,5238,13734,0.6309,,0.5228,,0.485,38500,39400,41400,44700,46700,36100,42300,43000,52800,5145,4,8,5,331,0.882666667,1.33E-02,Main Campus,1 MAIN ST,"Public, 4-year or above",29.7638,-95.3595,www.uhd.edu
122436,University of San Diego,San Diego,CA,92110-2492,Western Association of Schools and Colleges Senior College and University Commission,1,2,11,0,1,0,1,56346,41392,41392,0.9021,,1,,0.0478,51400,57000,60400,60300,66300,48400,55800,60600,76000,14954,2,10,88,189,0.504,0.234666667,UNIVERSITY OF SAN DIEGO,5998 ALCALA PARK,"Private nonprofit, 4-year or above",32.7714,-117.1887,www.sandiego.edu
123961,University of Southern California,Los Angeles,CA,90089,Western Association of Schools and Colleges Senior College and University Commission,1,2,11,0,1,0,1,59787,46298,46298,0.9599,,0.4,,0.0377,62900,68800,74300,72800,81300,57700,69300,74900,89500,13489,2,4,155,290,0.773333333,0.413333333,University Park Campus,University Park,"Private nonprofit, 4-year or above",34.0211,-118.2839,www.usc.edu/
227863,University of St Thomas,Houston,TX,77006-4696,Southern Association of Colleges and Schools Commission on Colleges,1,2,11,0,0,0,1,37271,28240,28240,0.766,,0.6667,,0.2494,39200,44300,49600,51600,55500,36400,45400,51500,65000,9031,1,8,5,331,0.882666667,1.33E-02,St. Paul Campus (Main Campus),2115 SUMMIT AVE,"Private nonprofit, 4-year or above",30,-93.1894,www.stthomas.edu
